ExternalID,SurveyNumber,QuestionID,Questions,QuestionType,Answer,Answer_normalized,sentiment,entities,topic_label,topic_id
,S25120024,296,"بشكل عام، ما مدى رضاك عن خدماتنا؟",EMOJIS,1,1,neutral,"[{'text': '1', 'label': 'وقت', 'score': 0.4154953956604004, 'start': 0, 'end': 1}]",", , , , , , , , , ",23
29614249387192449,S25120024,296,"بشكل عام، ما مدى رضاك عن خدماتنا؟",EMOJIS,2,2,neutral,"[{'text': '2', 'label': 'وقت', 'score': 0.45389431715011597, 'start': 0, 'end': 1}]",", , , , , , , , , ",23
48164499414409065,S25120024,296,"بشكل عام، ما مدى رضاك عن خدماتنا؟",EMOJIS,3,3,neutral,"[{'text': '3', 'label': 'وقت', 'score': 0.45416393876075745, 'start': 0, 'end': 1}]","10, , , , , , , , , ",12
14679313066594349,S25120024,296,"بشكل عام، ما مدى رضاك عن خدماتنا؟",EMOJIS,4,4,neutral,"[{'text': '4', 'label': 'وقت', 'score': 0.47957512736320496, 'start': 0, 'end': 1}]","10, , , , , , , , , ",12
58260897809422701,S25120024,296,"بشكل عام، ما مدى رضاك عن خدماتنا؟",EMOJIS,5,5,neutral,"[{'text': '5', 'label': 'وقت', 'score': 0.4874562919139862, 'start': 0, 'end': 1}]","10, , , , , , , , , ",12
44710991658674595,S25120024,297,ما مدى رضاك عن أداء مندوب المبيعات الذي قام بخدمتك؟,EMOJIS,1,1,neutral,"[{'text': '1', 'label': 'وقت', 'score': 0.4154953956604004, 'start': 0, 'end': 1}]",", , , , , , , , , ",23
43769892783859097,S25120024,297,ما مدى رضاك عن أداء مندوب المبيعات الذي قام بخدمتك؟,EMOJIS,2,2,neutral,"[{'text': '2', 'label': 'وقت', 'score': 0.45389431715011597, 'start': 0, 'end': 1}]",", , , , , , , , , ",23
2061902787314123,S25120024,297,ما مدى رضاك عن أداء مندوب المبيعات الذي قام بخدمتك؟,EMOJIS,3-Acceptable/مقبول,3-مقبول,neutral,"[{'text': '3-مقبول', 'label': 'شخص', 'score': 0.49929314851760864, 'start': 0, 'end': 7}]","تعمل ممتاز, راقي جدا, مقبول, ممتاز, تعمل, جيد, راقي, الموظف, موظف, جدا",29
57578038032338429,S25120024,297,ما مدى رضاك عن أداء مندوب المبيعات الذي قام بخدمتك؟,EMOJIS,4,4,neutral,"[{'text': '4', 'label': 'وقت', 'score': 0.47957512736320496, 'start': 0, 'end': 1}]","10, , , , , , , , , ",12
54188713562213306,S25120024,297,ما مدى رضاك عن أداء مندوب المبيعات الذي قام بخدمتك؟,EMOJIS,5,5,neutral,"[{'text': '5', 'label': 'وقت', 'score': 0.4874562919139862, 'start': 0, 'end': 1}]","10, , , , , , , , , ",12
20578119168627418,S25120024,298,ما مدى رضاك عن سرعة ودقة تنفيذ طلبك في الوقت المحدد؟,EMOJIS,1,1,neutral,"[{'text': '1', 'label': 'وقت', 'score': 0.4154953956604004, 'start': 0, 'end': 1}]",", , , , , , , , , ",23
,S25120024,298,ما مدى رضاك عن سرعة ودقة تنفيذ طلبك في الوقت المحدد؟,EMOJIS,2,2,neutral,"[{'text': '2', 'label': 'وقت', 'score': 0.45389431715011597, 'start': 0, 'end': 1}]",", , , , , , , , , ",23
32088748682648188,S25120024,298,ما مدى رضاك عن سرعة ودقة تنفيذ طلبك في الوقت المحدد؟,EMOJIS,3,3,neutral,"[{'text': '3', 'label': 'وقت', 'score': 0.45416393876075745, 'start': 0, 'end': 1}]","10, , , , , , , , , ",12
57578038032338429,S25120024,298,ما مدى رضاك عن سرعة ودقة تنفيذ طلبك في الوقت المحدد؟,EMOJIS,4,4,neutral,"[{'text': '4', 'label': 'وقت', 'score': 0.47957512736320496, 'start': 0, 'end': 1}]","10, , , , , , , , , ",12
14443230733048737,S25120024,298,ما مدى رضاك عن سرعة ودقة تنفيذ طلبك في الوقت المحدد؟,EMOJIS,5,5,neutral,"[{'text': '5', 'label': 'وقت', 'score': 0.4874562919139862, 'start': 0, 'end': 1}]","10, , , , , , , , , ",12
